"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2006","AFR","BFA","44265","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BFA","44246","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BFA","36514","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BFA","182527","","","",""
"WHS3_48","PUBLISHED","2010","AFR","BFA","804539","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BFA","428113","","","",""
"WHS3_48","PUBLISHED","2006","AFR","BDI","791731","","","",""
"WHS3_48","PUBLISHED","2007","AFR","BDI","1101644","","","",""
"WHS3_48","PUBLISHED","2008","AFR","BDI","876741","","","",""
"WHS3_48","PUBLISHED","2009","AFR","BDI","1185622","","","",""
"WHS3_48","PUBLISHED","2010","AFR","BDI","1763447","","","",""
"WHS3_48","PUBLISHED","2011","AFR","BDI","1571874","","","",""
"WHS3_48","PUBLISHED","2006","WPR","KHM","78696","","","",""
"WHS3_48","PUBLISHED","2007","WPR","KHM","42518","","","",""
"WHS3_48","PUBLISHED","2008","WPR","KHM","42124","","","",""
"WHS3_48","PUBLISHED","2009","WPR","KHM","64595","","","",""
"WHS3_48","PUBLISHED","2010","WPR","KHM","49356","","","",""
"WHS3_48","PUBLISHED","2011","WPR","KHM","57423","","","",""
"WHS3_48","PUBLISHED","2007","AFR","CMR","313083","","","",""
"WHS3_48","PUBLISHED","2009","AFR","CMR","0","","","",""
"WHS3_48","PUBLISHED","2006","AFR","CPV","63","","","",""
"WHS3_48","PUBLISHED","2007","AFR","CPV","2","","","",""
"WHS3_48","PUBLISHED","2008","AFR","CPV","16","","","",""
"WHS3_48","PUBLISHED","2009","AFR","CPV","65","","","",""
"WHS3_48","PUBLISHED","2010","AFR","CPV","18","","","",""
"WHS3_48","PUBLISHED","2011","AFR","CPV","36","","","",""
"WHS3_48","PUBLISHED","2006","AFR","TCD","45155","","","",""
"WHS3_48","PUBLISHED","2007","AFR","TCD","48288","","","",""
"WHS3_48","PUBLISHED","2008","AFR","TCD","47757","","","",""
"WHS3_48","PUBLISHED","2010","AFR","TCD","200448","","","",""
"WHS3_48","PUBLISHED","2011","AFR","TCD","181126","","","",""
"WHS3_48","PUBLISHED","2006","WPR","CHN","33286","","","",""
"WHS3_48","PUBLISHED","2007","WPR","CHN","28112","","","",""
"WHS3_48","PUBLISHED","2008","WPR","CHN","15870","","","",""
"WHS3_48","PUBLISHED","2009","WPR","CHN","9287","","","",""
"WHS3_48","PUBLISHED","2010","WPR","CHN","4990","","","",""
"WHS3_48","PUBLISHED","2011","WPR","CHN","3367","","","",""
"WHS3_48","PUBLISHED","2006","AMR","COL","120096","","","",""
"WHS3_48","PUBLISHED","2007","AMR","COL","128462","","","",""
"WHS3_48","PUBLISHED","2008","AMR","COL","80501","","","",""
"WHS3_48","PUBLISHED","2009","AMR","COL","79347","","","",""
"WHS3_48","PUBLISHED","2010","AMR","COL","117650","","","",""
"WHS3_48","PUBLISHED","2011","AMR","COL","64309","","","",""
"WHS3_48","PUBLISHED","2006","AFR","COM","20559","","","",""
"WHS3_48","PUBLISHED","2009","AFR","COM","5982","","","",""
"WHS3_48","PUBLISHED","2010","AFR","COM","36538","","","",""
"WHS3_48","PUBLISHED","2011","AFR","COM","24856","","","",""
"WHS3_48","PUBLISHED","2007","AFR","COG","103213","","","",""
"WHS3_48","PUBLISHED","2008","AFR","COG","117291","","","",""
"WHS3_48","PUBLISHED","2009","AFR","COG","92855","","","",""
"WHS3_48","PUBLISHED","2011","AFR","COG","71048","","","",""
"WHS3_48","PUBLISHED","2006","AMR","CRI","2903","","","",""
"WHS3_48","PUBLISHED","2007","AMR","CRI","1223","","","",""
"WHS3_48","PUBLISHED","2008","AMR","CRI","966","","","",""
"WHS3_48","PUBLISHED","2009","AMR","CRI","262","","","",""
"WHS3_48","PUBLISHED","2010","AMR","CRI","114","","","",""
"WHS3_48","PUBLISHED","2011","AMR","CRI","17","","","",""
"WHS3_48","PUBLISHED","2008","AFR","CIV","3527","","","",""
"WHS3_48","PUBLISHED","2009","AFR","CIV","7388","","","",""
