"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Tuberculosis - new and relapse cases","Published","1993","Africa","Lower-middle-income","Angola","8269","8269","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Lower-middle-income","Angola","7157","7157","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Lower-middle-income","Angola","5143","5143","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Lower-middle-income","Angola","15424","15424","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Lower-middle-income","Angola","21713","21713","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Lower-middle-income","Angola","29996","29996","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Lower-middle-income","Angola","36079","36079","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Lower-middle-income","Angola","35437","35437","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Lower-middle-income","Angola","37175","37175","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Lower-middle-income","Angola","44655","44655","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Lower-middle-income","Angola","47240","47240","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Lower-middle-income","Angola","51819","51819","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Burundi","4575","4575","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Burundi","4883","4883","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Burundi","3796","3796","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Burundi","5335","5335","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Burundi","6480","6480","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Burundi","6365","6365","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Burundi","6871","6871","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Burundi","6585","6585","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Burundi","6114","6114","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Low-income","Burundi","6284","6284","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Benin","2162","2162","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Benin","2420","2420","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Benin","2335","2335","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Benin","2117","2117","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Benin","2400","2400","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Benin","2697","2697","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Benin","2659","2659","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Benin","2841","2841","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Benin","2940","2940","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Benin","3872","3872","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Benin","3878","3878","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Benin","3756","3756","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Benin","4212","4212","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Burkina Faso","1443","1443","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Burkina Faso","861","861","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Burkina Faso","2572","2572","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Burkina Faso","2078","2078","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Burkina Faso","2406","2406","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Burkina Faso","2376","2376","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Burkina Faso","2620","2620","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Burkina Faso","2876","2876","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Burkina Faso","4716","4716","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Burkina Faso","4800","4800","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Burkina Faso","5286","5286","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Burkina Faso","5210","5210","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Upper-middle-income","Botswana","2938","2938","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Upper-middle-income","Botswana","3274","3274","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Upper-middle-income","Botswana","4179","4179","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Upper-middle-income","Botswana","7287","7287","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Upper-middle-income","Botswana","7960","7960","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Upper-middle-income","Botswana","8647","8647","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Upper-middle-income","Botswana","9292","9292","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Upper-middle-income","Botswana","10058","10058","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Upper-middle-income","Botswana","8558","8558","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Upper-middle-income","Botswana","7962","7962","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Upper-middle-income","Botswana","8891","8891","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Upper-middle-income","Botswana","8362","8362","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Central African Republic","3623","3623","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Central African Republic","4459","4459","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Central African Republic","4875","4875","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Central African Republic","5003","5003","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Central African Republic","2550","2550","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Central African Republic","6045","6045","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Central African Republic","6803","6803","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Central African Republic","8743","8743","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Central African Republic","6643","6643","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Lower-middle-income","C?te d'Ivoire","14000","14000","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Lower-middle-income","C?te d'Ivoire","11988","11988","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Lower-middle-income","C?te d'Ivoire","13104","13104","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Lower-middle-income","C?te d'Ivoire","13802","13802","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Lower-middle-income","C?te d'Ivoire","16156","16156","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Lower-middle-income","C?te d'Ivoire","17604","17604","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Lower-middle-income","C?te d'Ivoire","20133","20133","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Lower-middle-income","C?te d'Ivoire","19681","19681","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Lower-middle-income","C?te d'Ivoire","22476","22476","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Lower-middle-income","C?te d'Ivoire","23762","23762","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Lower-middle-income","Cameroon","5892","5892","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Lower-middle-income","Cameroon","3292","3292","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Lower-middle-income","Cameroon","3049","3049","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Lower-middle-income","Cameroon","3952","3952","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Lower-middle-income","Cameroon","5022","5022","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Lower-middle-income","Cameroon","7660","7660","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Lower-middle-income","Cameroon","17655","17655","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Lower-middle-income","Cameroon","21499","21499","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Lower-middle-income","Cameroon","23483","23483","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Lower-middle-income","Cameroon","24062","24062","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Lower-middle-income","Cameroon","24802","24802","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Democratic Republic of the Congo","21131","21131","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Democratic Republic of the Congo","33782","33782","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Democratic Republic of the Congo","45584","45584","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Democratic Republic of the Congo","58917","58917","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Democratic Republic of the Congo","59531","59531","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Democratic Republic of the Congo","61024","61024","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Democratic Republic of the Congo","97075","97075","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Democratic Republic of the Congo","95666","95666","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Low-income","Democratic Republic of the Congo","99810","99810","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Democratic Republic of the Congo","104861","104861","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Lower-middle-income","Congo","1179","1179","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Lower-middle-income","Congo","1976","1976","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Lower-middle-income","Congo","2992","2992","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Lower-middle-income","Congo","3615","3615","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Lower-middle-income","Congo","9239","9239","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Lower-middle-income","Congo","9735","9735","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Lower-middle-income","Congo","9888","9888","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Lower-middle-income","Congo","7782","7782","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Lower-middle-income","Congo","9729","9729","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Lower-middle-income","Congo","9765","9765","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Lower-middle-income","Congo","10150","10150","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Lower-middle-income","Congo","10975","10975","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Lower-middle-income","Congo","11303","11303","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Comoros","108","108","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Comoros","129","129","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Comoros","115","115","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Comoros","123","123","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Comoros","138","138","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Comoros","138","138","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Comoros","111","111","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Comoros","73","73","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Comoros","89","89","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Comoros","117","117","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Comoros","120","120","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Lower-middle-income","Cabo Verde","196","196","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Lower-middle-income","Cabo Verde","205","205","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Lower-middle-income","Cabo Verde","291","291","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Lower-middle-income","Cabo Verde","195","195","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Lower-middle-income","Cabo Verde","274","274","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Lower-middle-income","Cabo Verde","334","334","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Lower-middle-income","Cabo Verde","332","332","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Lower-middle-income","Cabo Verde","356","356","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Lower-middle-income","Cabo Verde","380","380","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Upper-middle-income","Algeria","13345","13345","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Upper-middle-income","Algeria","13507","13507","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Upper-middle-income","Algeria","15329","15329","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Upper-middle-income","Algeria","16522","16522","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Upper-middle-income","Algeria","19730","19730","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Upper-middle-income","Algeria","19929","19929","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Upper-middle-income","Algeria","21336","21336","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Upper-middle-income","Algeria","21143","21143","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Upper-middle-income","Algeria","21429","21429","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Upper-middle-income","Algeria","21880","21880","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Eritrea","3699","3699","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Eritrea","4386","4386","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Eritrea","11664","11664","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Eritrea","15505","15505","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Eritrea","6037","6037","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Eritrea","6652","6652","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Eritrea","2743","2743","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Eritrea","2805","2805","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Eritrea","4711","4711","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Eritrea","2970","2970","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Eritrea","2904","2904","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Eritrea","2870","2870","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Eritrea","3049","3049","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Ethiopia","60006","60006","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Ethiopia","99329","99329","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Ethiopia","26034","26034","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Ethiopia","41889","41889","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Ethiopia","110289","110289","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Ethiopia","117600","117600","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Ethiopia","123127","123127","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Ethiopia","124262","124262","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Ethiopia","154694","154694","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Ethiopia","156539","156539","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Ethiopia","145323","145323","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Upper-middle-income","Gabon","926","926","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Upper-middle-income","Gabon","972","972","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Upper-middle-income","Gabon","1034","1034","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Upper-middle-income","Gabon","1115","1115","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Upper-middle-income","Gabon","951","951","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Upper-middle-income","Gabon","2086","2086","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Upper-middle-income","Gabon","2208","2208","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Upper-middle-income","Gabon","2588","2588","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Upper-middle-income","Gabon","2512","2512","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Upper-middle-income","Gabon","3790","3790","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Upper-middle-income","Gabon","4404","4404","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Upper-middle-income","Gabon","4929","4929","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Ghana","17004","17004","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Ghana","8636","8636","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Ghana","10449","10449","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Ghana","10749","10749","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Ghana","11891","11891","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Ghana","11827","11827","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Ghana","12124","12124","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Ghana","12471","12471","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Ghana","15389","15389","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Ghana","14753","14753","","",""
"Tuberculosis - new and relapse cases","Published","1995","Africa","Low-income","Guinea","3523","3523","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Guinea","4357","4357","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Guinea","4439","4439","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Guinea","4768","4768","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Guinea","6783","6783","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Guinea","7423","7423","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Guinea","6863","6863","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Guinea","8787","8787","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Guinea","11359","11359","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Guinea","11407","11407","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Gambia","1242","1242","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Gambia","1357","1357","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Gambia","1558","1558","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Gambia","1514","1514","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Gambia","2142","2142","","",""
"Tuberculosis - new and relapse cases","Published","2005","Africa","Low-income","Gambia","2031","2031","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Gambia","1795","1795","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Low-income","Gambia","1897","1897","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Gambia","2127","2127","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Guinea-Bissau","1163","1163","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Guinea-Bissau","1246","1246","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Guinea-Bissau","1059","1059","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Guinea-Bissau","1558","1558","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Guinea-Bissau","846","846","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Guinea-Bissau","1164","1164","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Guinea-Bissau","1273","1273","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Guinea-Bissau","1566","1566","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Guinea-Bissau","2171","2171","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Guinea-Bissau","2183","2183","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Guinea-Bissau","2063","2063","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Guinea-Bissau","1939","1939","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","High-income","Equatorial Guinea","260","260","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","High-income","Equatorial Guinea","331","331","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","High-income","Equatorial Guinea","319","319","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","High-income","Equatorial Guinea","366","366","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","High-income","Equatorial Guinea","416","416","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","High-income","Equatorial Guinea","536","536","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","High-income","Equatorial Guinea","718","718","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Kenya","12320","12320","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Kenya","14599","14599","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Kenya","20451","20451","","",""
"Tuberculosis - new and relapse cases","Published","1994","Africa","Low-income","Kenya","22930","22930","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Kenya","57266","57266","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Kenya","64159","64159","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Kenya","73017","73017","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Kenya","80183","80183","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Kenya","99941","99941","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Kenya","102997","102997","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Kenya","99272","99272","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Kenya","97320","97320","","",""
"Tuberculosis - new and relapse cases","Published","1996","Africa","Low-income","Liberia","840","840","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Liberia","1753","1753","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Liberia","1500","1500","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Liberia","1751","1751","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Liberia","4447","4447","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Liberia","4970","4970","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Liberia","5918","5918","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Liberia","6597","6597","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Lower-middle-income","Lesotho","2525","2525","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Lower-middle-income","Lesotho","2994","2994","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Lower-middle-income","Lesotho","3327","3327","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Lower-middle-income","Lesotho","3384","3384","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Lower-middle-income","Lesotho","7806","7806","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Lower-middle-income","Lesotho","8552","8552","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Lower-middle-income","Lesotho","9746","9746","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Lower-middle-income","Lesotho","7040","7040","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Lower-middle-income","Lesotho","13286","13286","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Lower-middle-income","Lesotho","12019","12019","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Lower-middle-income","Lesotho","12213","12213","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Lower-middle-income","Lesotho","11674","11674","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Madagascar","6261","6261","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Madagascar","6015","6015","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Madagascar","8126","8126","","",""
"Tuberculosis - new and relapse cases","Published","1993","Africa","Low-income","Madagascar","9855","9855","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Madagascar","16447","16447","","",""
"Tuberculosis - new and relapse cases","Published","2002","Africa","Low-income","Madagascar","17140","17140","","",""
"Tuberculosis - new and relapse cases","Published","2003","Africa","Low-income","Madagascar","19309","19309","","",""
"Tuberculosis - new and relapse cases","Published","2004","Africa","Low-income","Madagascar","20001","20001","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Madagascar","22758","22758","","",""
"Tuberculosis - new and relapse cases","Published","2010","Africa","Low-income","Madagascar","24432","24432","","",""
"Tuberculosis - new and relapse cases","Published","2011","Africa","Low-income","Madagascar","26019","26019","","",""
"Tuberculosis - new and relapse cases","Published","2012","Africa","Low-income","Madagascar","25782","25782","","",""
"Tuberculosis - new and relapse cases","Published","1990","Africa","Low-income","Mali","2933","2933","","",""
"Tuberculosis - new and relapse cases","Published","1991","Africa","Low-income","Mali","2631","2631","","",""
"Tuberculosis - new and relapse cases","Published","1992","Africa","Low-income","Mali","3113","3113","","",""
"Tuberculosis - new and relapse cases","Published","1997","Africa","Low-income","Mali","5022","5022","","",""
"Tuberculosis - new and relapse cases","Published","1998","Africa","Low-income","Mali","4142","4142","","",""
"Tuberculosis - new and relapse cases","Published","1999","Africa","Low-income","Mali","4466","4466","","",""
"Tuberculosis - new and relapse cases","Published","2000","Africa","Low-income","Mali","4216","4216","","",""
"Tuberculosis - new and relapse cases","Published","2001","Africa","Low-income","Mali","4452","4452","","",""
"Tuberculosis - new and relapse cases","Published","2006","Africa","Low-income","Mali","4989","4989","","",""
"Tuberculosis - new and relapse cases","Published","2007","Africa","Low-income","Mali","5179","5179","","",""
"Tuberculosis - new and relapse cases","Published","2008","Africa","Low-income","Mali","5989","5989","","",""
"Tuberculosis - new and relapse cases","Published","2009","Africa","Low-income","Mali","6611","6611","","",""
